direction_name,block_id,route_id,service_id,direction_id,trip_headsign,wheelchair_accessible,shape_id,trip_id,start_time,end_time
Southbound,a_3104_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1048__3104_Timetable_-_2023-10,0 days 12:25:00,0 days 13:13:00
Northbound,a_3119_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1049__3119_Timetable_-_2023-10,0 days 12:35:00,0 days 13:21:00
Southbound,a_3107_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1050__3107_Timetable_-_2023-10,0 days 12:55:00,0 days 13:43:00
Northbound,a_3105_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1051__3105_Timetable_-_2023-10,0 days 13:05:00,0 days 13:51:00
Southbound,a_3119_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1052__3119_Timetable_-_2023-10,0 days 13:25:00,0 days 14:13:00
Northbound,a_3116_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1053__3116_Timetable_-_2023-10,0 days 13:35:00,0 days 14:21:00
Southbound,a_3105_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1054__3105_Timetable_-_2023-10,0 days 13:55:00,0 days 14:45:00
Northbound,a_3125_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1055__3125_Timetable_-_2023-10,0 days 14:05:00,0 days 14:53:00
Southbound,a_3116_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1056__3116_Timetable_-_2023-10,0 days 14:25:00,0 days 15:15:00
Northbound,a_3123_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1057__3123_Timetable_-_2023-10,0 days 14:35:00,0 days 15:23:00
Southbound,a_3125_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1058__3125_Timetable_-_2023-10,0 days 15:00:00,0 days 15:50:00
Northbound,a_3118_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1059__3118_Timetable_-_2023-10,0 days 15:05:00,0 days 15:53:00
Southbound,a_3123_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1060__3123_Timetable_-_2023-10,0 days 15:30:00,0 days 16:20:00
Northbound,a_3128_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1061__3128_Timetable_-_2023-10,0 days 15:35:00,0 days 16:23:00
Southbound,a_3118_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1062__3118_Timetable_-_2023-10,0 days 16:00:00,0 days 16:50:00
Northbound,a_3129_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1063__3129_Timetable_-_2023-10,0 days 16:05:00,0 days 16:55:00
Southbound,a_3128_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1065__3128_Timetable_-_2023-10,0 days 16:30:00,0 days 17:20:00
Northbound,a_3110_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1066__3110_Timetable_-_2023-10,0 days 16:35:00,0 days 17:25:00
Northbound,a_3117_Timetable_-_2023-10,392,Weekday_merged_999971,0,Whitby Station,1,100.0.1952652992_Timetable_-_2023-10,1067__3117_Timetable_-_2023-10,0 days 06:20:00,0 days 06:31:00
Southbound,a_3129_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1069__3129_Timetable_-_2023-10,0 days 17:00:00,0 days 17:50:00
