Run_ID,Time_Stamp,Network_Name,Scenarios,Objective_Value in $,Run_Time in minutes,Build_Time in minutes,Variables in millions,Constraints in millions,Status,Apply_Benders_Cut,Use_Temperature,Use_Renewables,Solar_Panel_Cost,Battery_Storage_Cost,Grid_Capacity_Cost
23,Sun May 26 02:00:31 2024,Durham_2.1k,1,567.8224063629841,18.23542823791504,6.062509298324585,0.232,0.229,optimal,True,True,True,[0.017],[0.046],[0.14]
25,Sun May 26 02:04:34 2024,Durham_2.1k,3,724.9455398892007,21.63203397989273,18.02790355682373,0.673,0.678,optimal,True,True,True,[0.017],[0.046],[0.14]
27,Sun May 26 03:04:05 2024,Durham_2.1k,12,757.2242926330197,61.08302294413249,78.54421997070312,2.728,2.739,optimal,True,True,True,[0.017],[0.046],[0.14]
28,Sun May 26 03:54:33 2024,Durham_2.1k,12,757.224295878268,110.31069682041804,85.62005710601807,2.728,2.739,optimal,False,True,True,[0.017],[0.046],[0.14]
28,Sun May 26 03:58:30 2024,Durham_2.1k,12,757.224295878268,109.35638602177302,62.56228256225586,2.728,2.739,optimal,False,True,True,[0.017],[0.046],[0.14]
30,Sun May 26 10:04:19 2024,Durham_2.1k,52,217.00157337683288,21.443311321735383,238.8514699935913,11.969,12.006,user aborted,False,True,True,[0.017],[0.046],[0.14]
18,Wed Jun 12 01:17:26 2024,Thunder_bay_903,52,209.84581321194395,5.428496197859446,105.42339825630188,3.778,4.37,optimal,True,True,True,[0.017],[0.046],[0.14]
18,Wed Jun 12 01:36:54 2024,Thunder_bay_903,52,281.6070318867094,17.40901236931483,103.89004015922546,3.778,4.37,optimal,True,True,True,[0.017],[0.046],[0.14]
18,Wed Jun 12 02:48:49 2024,Thunder_bay_903,52,391.9964696832528,88.28684309720992,109.37354922294617,3.778,4.37,optimal,True,True,True,[0.017],[0.046],[0.14]
34,Sat Jun 15 11:30:34 2024,Thunder_bay_clustering,1,157.84924108078968,2.376830887794495,2.080301284790039,0.071,0.083,optimal,True,True,True,[0.017],[0.046],[0.14]
40,Sat Jun 15 11:32:01 2024,Thunder_bay_clustering,1,157.8492410807894,0.030519954363505,1.5453436374664309,0.071,0.083,optimal,False,True,True,[0.017],[0.046],[0.14]
